date	content
2017/1/3	新莊企金中小組：榮○公司經營針織布料開發銷售，名下多筆不動產，6筆房產設定予合○金庫，屬資產型顧客，陳董事長近來有意整合公司債務，隨即向公司爭取本次廠房貸款，並代償同業現欠約新臺幣8,000萬元，因本行優先向顧客提出建議，且董事長感念平時本行服務得宜，故向本行申貸。本案符合廠辦專案條件，創造8,000萬元SME撥款量，並收取額度作業費22萬元。除創造利收與非利收益之外，成功爭取廠辦專案貸款，本次成功行銷皆因積極拜訪顧客、及時爭取業務、且協助借戶規劃債務整合，深耕客我關係，達成客我雙贏目標。
2017/1/3	整合跨產品線資源，創造客我價值。鋒○公司從事特殊螺釘製造，近一年國內營收約3億元，本次配合廠商好夥辦專案，經常董會核准DBU新臺幣4.2億元代償中○企銀及OBU美金300萬元，12月中已順利撥貸代償及動用OBU外幣短放，新增廠商好夥辦專案成績。本月新承做USD/NTDSWAP美金50萬元，RMTeam把握往來熱度，適時轉介負責人理財，於12/30順利核保6P年繳100萬元儲蓄險，未來持續搭配DCI交易收益，集團收益可進一步提升。
2017/1/3	發揮團隊力量，成為中小企業品牌首選。致○公司為工業鋁擠型產品的專業加工廠，終端產品涵蓋汽機車自行車零件、運動用品、醫療器材等，股東背景多為台南知名鋁擠型廠成員，公司近年營收仍穩定成長，本行授信往來以進口開狀為主，外匯選擇權不再承做，2015年開狀金額尚有美金168萬元，今年因本行利費率成本較同業高，已鮮少開狀，本次藉贈送月曆拜會財務主管，不放棄爭取顧客動用貿融額度，成功爭取承做進口開狀美金27萬元，且顧客仍允諾下月會再動用，本組會持續善用本行中小企業品牌，爭取更多外匯業務。
2017/1/9	新莊企金中小組：勇○公司為各大進口零食品牌之代理商，如箭牌口香糖、模範生點心麵等，全台四大超商皆為其銷貨客群，公司有計劃於近年公開發行，本次藉由授信額度續約對保時機，向黃總經理及財務主管說明玉證承銷業務，爭取派生業務以擴大非利收。此外亦向公司爭取存款實績往來，財務主管表示因為先前在本行未開立外幣帳戶，而公司存款多為日幣及美金，將於本行開立外幣帳戶，於他行庫匯存入本行約美金200萬元。
2017/1/9	整合通路資源，擴大本行SME。廣○公司為食品原料代理商及進口商，代理品牌及品項多元，如橄欖油、麵粉及醬油等，主要銷售予台灣各大量販店及超市。本次透過聯行BMO轉介共同拜訪負責人及財務主管，得知公司有外匯及台幣週轉金需求，於金融同業以信保及不動產額度為主，為本行目標客群，RMTeam隨即向公司徵提資料進行授信額度規劃。日前總行公佈2017年度新行銷活動「法金SME新夥伴」，RMTeam將持續與分行BMO密切合作，共同開發優質新戶，為本行SME及信保成績盡一份心力。
2017/1/9	善用專案創造商機，提升客我黏著度。和○公司主要從事棒球及高爾夫球等體育用品製造、買賣，主要銷售地區為日本與東南亞，有外幣收付款需求。目前集團於本行存積約美金140萬元，集團自去年外匯888專案簽約後匯出筆數共191筆，較去年增加120%，整體收益約新臺幣75,136元。本年度亦成功爭取888專案續約，另因公司匯款量持續增加，且考量公司使用需求，於續約時CM與分行為顧客導入「全球智匯網-進階版」使用，期能透過更為便捷的交易工具，於新的年度領先同業搶占外存並提升外匯相關收益。
2017/1/18	新莊企金中小組：EA○公司成立於2005年5月，資本額美金100萬元，為授信戶宜○集團因投資理財及境外金流接單收付之需所設立，主要代理日本M○INO工具機，由王董事長及王總經理主導業務，在RMTeam及分行長期經營深耕，提供法金+理財全方位服務，配合法金處推出廠商好夥辦專案，規劃廠辦貸款1.8億元，額度作業費200萬元，並以OBU申請營運週轉金美金200萬元，順利將廠辦由台○轉貸至本行，本週亦下單海外債美金100萬元，創造理財手收128萬元。經由RMTeam主動出擊，提供完整SME規劃，結合理財及分行力量，共同發酵SME、非利息收入及理財手收，創造玉山及顧客雙贏局勢。
2017/1/18	深耕重要顧客，加速業務成長。集團主要從事瓦楞紙箱/盒/板買賣，為分行端重要顧客，隨營業規模成長，關係戶-盛○紙器及本戶陸續購置新廠，經同仁跟催及爭取，終在額度規劃及效率上擊敗競爭對手彰○銀行。12月底率先核予本戶貸廠辦融資5,000萬元，另關係戶廠辦1.5億元亦於本週核貸，感謝總行長官全力支持，在效率上深獲董事長認同，預計兩案合計將可收取額度作業費95萬元，並提升SME餘額2億元，全案收益性佳。2017年RMTeam將鎖定分行優質客群，以法金亮點產品，爭取目標客群往來，與分行共同發揮通路經營SME的新價值。
2017/1/18	跨境全球據點，活躍外匯發展。GoldenF○公司為一鞋用底膠製造商，營運生產據點遍及台灣、東莞及越南，集團銷售對象主要為國際知名上市公司，與兆○、匯○等銀行往來逾5年，RMTeam於2016年持續配合東莞同仁分近合擊，掌握該戶經營動態，終在2017年掌握其資金需求點，同時核准大陸地區週轉金額度RMB1,500萬及台灣擔保信用狀額度USD250萬，並已順利開立擔保信用狀RMB600萬並收取開狀手續費美金8,000元，過程中並成功爭取匯入約美金80萬元的存款，為2017年的跨境業務打下一場勝仗。
2017/1/23	新竹企金中小組：鼎○貿易從事化妝品玻璃容器製造、銷售，各項業務均以本行為主力，合計關係戶近三個月活存平均實績9,300萬元，負責人蔡董亦為本行理財VVIP顧客。近年顧客成功切入國際化妝品大廠，訂單持續成長，本行授信額度不敷使用，RMTeam得知後主動提出增加授信額度，深獲顧客肯定。本次連同關係戶DING○○共增加2,000萬元額度，除挹注放款量及信保餘額外，並成功收取額度作業費6萬元。蔡董已將個人房貸移至本行承作，並購買多筆保險產品，允諾將提撥美金20萬元予理專規劃產品，持續加深法金、理財與顧客關係。
